client_id	path	sentence
b5badebcabbd0c04853a02bbb60d21c3cf73eedbaf74d37cc73527dc791b75d85bf07b0235aa164129d4f25c4a5f761f98add240ffe9bb7da44971e2f8623b41	common_voice_vi_23745304.wav	bởi chính bản thân thầy cũng không nhìn ra được chuyện gì
7606c9e1bbfc6ce41565a075ca737ceeeb5037f5a0407f904046eba8e068ed953726ee39fcaddf9789fb2b560e82cd46a31e367cc95e3586ed76e08cd265c190	common_voice_vi_23847390.wav	ni đi theo lúc này cô mới nhanh chóng đóng sầm cửa lại
c44e0fee41f88045a040f1ffc8930be3c2a1bcc6f198f57894db86aa8147d18693913aa1b0e55ba98a4ff99f67a407665fad1c1898c03a07422833c6a8356cc2	common_voice_vi_23847774.wav	a hội cầm lấy bao thuốc của tôi
61a3bdce724f826cd1b2381b019e286fc7dfc0db75b8068c2cec5b0f7eb69302c94763414411c2d574fe4362f33f179ee99bc3de2d7c148879c582574bbb274e	common_voice_vi_23847779.wav	đúng rồi mày à
61a3bdce724f826cd1b2381b019e286fc7dfc0db75b8068c2cec5b0f7eb69302c94763414411c2d574fe4362f33f179ee99bc3de2d7c148879c582574bbb274e	common_voice_vi_23847782.wav	lòng người hiểm sâu thước nào đo được
61a3bdce724f826cd1b2381b019e286fc7dfc0db75b8068c2cec5b0f7eb69302c94763414411c2d574fe4362f33f179ee99bc3de2d7c148879c582574bbb274e	common_voice_vi_23847783.wav	a hội cầm lấy bao thuốc của tôi
c44e0fee41f88045a040f1ffc8930be3c2a1bcc6f198f57894db86aa8147d18693913aa1b0e55ba98a4ff99f67a407665fad1c1898c03a07422833c6a8356cc2	common_voice_vi_23848856.wav	có phải mẹ không ạ
c44e0fee41f88045a040f1ffc8930be3c2a1bcc6f198f57894db86aa8147d18693913aa1b0e55ba98a4ff99f67a407665fad1c1898c03a07422833c6a8356cc2	common_voice_vi_23848864.wav	anh chàng bị thương vẫn không lên một tiếng
c44e0fee41f88045a040f1ffc8930be3c2a1bcc6f198f57894db86aa8147d18693913aa1b0e55ba98a4ff99f67a407665fad1c1898c03a07422833c6a8356cc2	common_voice_vi_23848878.wav	anh phải sống phải tiếp tục sống hạnh phúc
c44e0fee41f88045a040f1ffc8930be3c2a1bcc6f198f57894db86aa8147d18693913aa1b0e55ba98a4ff99f67a407665fad1c1898c03a07422833c6a8356cc2	common_voice_vi_23848891.wav	tao đang ở đây mà mày nghĩ đến trai à
c14ad590de005be3a512e187900c5ad5c76921cf1883b3349cda8e57e390901f453aae312b3c027b31acc18b7e2f3e857b8f8618ab1eb3a0be7298f8d1c001ce	common_voice_vi_23901473.wav	sự sợ hãi
c14ad590de005be3a512e187900c5ad5c76921cf1883b3349cda8e57e390901f453aae312b3c027b31acc18b7e2f3e857b8f8618ab1eb3a0be7298f8d1c001ce	common_voice_vi_23901514.wav	vẫn chưa thấy được
c14ad590de005be3a512e187900c5ad5c76921cf1883b3349cda8e57e390901f453aae312b3c027b31acc18b7e2f3e857b8f8618ab1eb3a0be7298f8d1c001ce	common_voice_vi_23901527.wav	cô bạn còn lại liền đáp
c14ad590de005be3a512e187900c5ad5c76921cf1883b3349cda8e57e390901f453aae312b3c027b31acc18b7e2f3e857b8f8618ab1eb3a0be7298f8d1c001ce	common_voice_vi_23901528.wav	thì con muốn gì mẹ cũng sẽ mua cho con
c14ad590de005be3a512e187900c5ad5c76921cf1883b3349cda8e57e390901f453aae312b3c027b31acc18b7e2f3e857b8f8618ab1eb3a0be7298f8d1c001ce	common_voice_vi_23901529.wav	sáng nay mưa rào
c14ad590de005be3a512e187900c5ad5c76921cf1883b3349cda8e57e390901f453aae312b3c027b31acc18b7e2f3e857b8f8618ab1eb3a0be7298f8d1c001ce	common_voice_vi_23901530.wav	tao không bao giờ làm hại mày cả
c14ad590de005be3a512e187900c5ad5c76921cf1883b3349cda8e57e390901f453aae312b3c027b31acc18b7e2f3e857b8f8618ab1eb3a0be7298f8d1c001ce	common_voice_vi_23901531.wav	mất đầu mất tay
c14ad590de005be3a512e187900c5ad5c76921cf1883b3349cda8e57e390901f453aae312b3c027b31acc18b7e2f3e857b8f8618ab1eb3a0be7298f8d1c001ce	common_voice_vi_23901532.wav	trinh cười rồi đáp
c14ad590de005be3a512e187900c5ad5c76921cf1883b3349cda8e57e390901f453aae312b3c027b31acc18b7e2f3e857b8f8618ab1eb3a0be7298f8d1c001ce	common_voice_vi_23901533.wav	con thanh nó đang phải nằm viện theo dõi
c14ad590de005be3a512e187900c5ad5c76921cf1883b3349cda8e57e390901f453aae312b3c027b31acc18b7e2f3e857b8f8618ab1eb3a0be7298f8d1c001ce	common_voice_vi_23901534.wav	từ trên bước xuống một người lớn tuổi
c14ad590de005be3a512e187900c5ad5c76921cf1883b3349cda8e57e390901f453aae312b3c027b31acc18b7e2f3e857b8f8618ab1eb3a0be7298f8d1c001ce	common_voice_vi_23901535.wav	không phải là do mày
c14ad590de005be3a512e187900c5ad5c76921cf1883b3349cda8e57e390901f453aae312b3c027b31acc18b7e2f3e857b8f8618ab1eb3a0be7298f8d1c001ce	common_voice_vi_23901536.wav	sự việc ban nãy khiến cho trinh chưa hết bàng hoàng
c14ad590de005be3a512e187900c5ad5c76921cf1883b3349cda8e57e390901f453aae312b3c027b31acc18b7e2f3e857b8f8618ab1eb3a0be7298f8d1c001ce	common_voice_vi_23901542.wav	lúc này bà tâm ở trong phòng thờ với khẽ mở mắt
c14ad590de005be3a512e187900c5ad5c76921cf1883b3349cda8e57e390901f453aae312b3c027b31acc18b7e2f3e857b8f8618ab1eb3a0be7298f8d1c001ce	common_voice_vi_23901543.wav	nhưng không phải cửa phòng của cô
c14ad590de005be3a512e187900c5ad5c76921cf1883b3349cda8e57e390901f453aae312b3c027b31acc18b7e2f3e857b8f8618ab1eb3a0be7298f8d1c001ce	common_voice_vi_23901545.wav	bờ vai em nhỏ
c14ad590de005be3a512e187900c5ad5c76921cf1883b3349cda8e57e390901f453aae312b3c027b31acc18b7e2f3e857b8f8618ab1eb3a0be7298f8d1c001ce	common_voice_vi_23901546.wav	tiếc là em càng bước lại gần thì thảo lại càng xa
c14ad590de005be3a512e187900c5ad5c76921cf1883b3349cda8e57e390901f453aae312b3c027b31acc18b7e2f3e857b8f8618ab1eb3a0be7298f8d1c001ce	common_voice_vi_23901552.wav	trùm chăn kín đầu nhưng phương vẫn gào thét
c14ad590de005be3a512e187900c5ad5c76921cf1883b3349cda8e57e390901f453aae312b3c027b31acc18b7e2f3e857b8f8618ab1eb3a0be7298f8d1c001ce	common_voice_vi_23901553.wav	thời gian như là gió
c14ad590de005be3a512e187900c5ad5c76921cf1883b3349cda8e57e390901f453aae312b3c027b31acc18b7e2f3e857b8f8618ab1eb3a0be7298f8d1c001ce	common_voice_vi_23901554.wav	vết thương trong lòng
